,title,date,location,type,region,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
248,Seattle Kraken vs. San Jose Sharks,4/11/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
249,The Percussion: Sounds from Home,4/12/2024 through 4/13/2024, Benaroya Hall,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
250,Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024, Seattle Art Museum,Museums,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 92}",10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind around 10 mph. New rainfall amounts less than a tenth of an inch possible."
251,The Moors,3/22/2024 through 4/14/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
252,Mahler Symphony No. 3,4/11/2024 through 4/14/2024, Benaroya Hall,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
253,Best of the Northwest Spring Show,4/13/2024 through 4/14/2024, Magnuson Park,Festivals & Special Events,University District,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 91}",10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind around 10 mph. New rainfall amounts less than a tenth of an inch possible."
254,An Evening with Jinjoo Cho,4/19/2024, 415 Westlake,Music,Queen Anne / Seattle Center,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
255,Dvorak Symphony No. 6,4/18/2024 through 4/20/2024, Benaroya Hall,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",10 mph,S,https://api.weather.gov/icons/land/day/bkn?size=medium,Partly Sunny,"Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind around 10 mph. New rainfall amounts less than a tenth of an inch possible."
256,The Seasons’ Canon,4/12/2024 through 4/21/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
257,DRUM TAO 30th Anniversary,4/22/2024, Benaroya Hall,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
258,Disney’s Aladdin,4/24/2024 through 4/28/2024, The Paramount Theatre,Theatre,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
259,Antarctic Symphony,4/25/2024 through 4/28/2024, Benaroya Hall,Music,Downtown,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 89}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny. High near 51, with temperatures falling to around 49 in the afternoon. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
260,Shine On Seattle,1/30/2024 through 4/29/2024, Pioneer Square,Festivals & Special Events,Pioneer Square,2024-01-23T15:00:00-08:00,2024-01-23T18:00:00-08:00,True,51.0,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 87}",7 to 10 mph,S,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 51. South wind 7 to 10 mph. New rainfall amounts less than a tenth of an inch possible."
